form	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
serpens	serpens	_	Sing	_	_	Nom	_	_	NOM
licet	licet	Pos	_	_	_	_	_	2	ADV
pone	pono	_	Sing	2	Imp|Pres|Act	_	_	_	VER
pauum	pauus	_	Sing	_	_	Acc	_	_	NOM
nam	nam	_	_	_	_	_	_	_	CONcoo

et	et	_	_	_	_	_	_	2	CONcoo
iste	iste	_	Sing	_	_	Nom	Masc	_	PROdem
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
sortitus	sortior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
conuertit	conuerto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
corium	corium	_	Sing	_	_	Acc	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
aeuum	aeuum	_	Sing	_	_	Acc	_	_	NOM

Siquidem	siquidem	_	_	_	_	_	_	_	CONsub
ut	ut	_	_	_	_	_	_	4	CONsub
senium	senium	_	Sing	_	_	Acc	_	_	NOM
persensit	persentio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
angustias	angustia	_	Plur	_	_	Acc	_	_	NOM
stipat	stipo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
pariterque	pariter界que	Pos	_	_	_	_	_	_	ADV
specum	specus	_	Sing	_	_	Acc	_	_	NOM
ingrediens	ingredior	_	Sing	_	Par|Pres|Dep	Nom	Com	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
cutem	cutis	_	Sing	_	_	Acc	_	_	NOM
egrediens	egredior	_	Sing	_	Par|Pres|Dep	Nom	Com	_	VER
ab	ab	_	_	_	_	_	_	_	PRE
ipso	ipse	_	Sing	_	_	Abl	MascNeut	_	PROdem
statim	statim	Pos	_	_	_	_	_	_	ADV
limine	limen	_	Sing	_	_	Abl	_	_	NOM
erasus	erado	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
exuuiis	exuuiae	_	Plur	_	_	Abl	_	_	NOM
ibidem	ibidem	Pos	_	_	_	_	_	_	ADV
relictis	relinquo	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
nouus	nouus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
explicat	explico	_	Sing	3	Ind|Pres|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	2	PRE
squamis	squama	_	Plur	_	_	Abl	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
anni	annus	_	Plur	_	_	Nom	_	_	NOM
recusantur	recuso	_	Plur	3	Ind|Pres|Pass	_	_	_	VER

Hyaenam	hyaena	_	Sing	_	_	Acc	_	_	NOM
si	si	_	_	_	_	_	_	2	CONsub
obserues	obseruo	_	Sing	2	Sub|Pres|Act	_	_	_	VER
sexus	sexus	_	Sing	_	_	Nom	_	_	NOM
annalis	annalis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
marem	mas	_	Sing	_	_	Acc	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
feminam	femina	_	Sing	_	_	Acc	_	_	NOM
alternat	alterno	_	Sing	3	Sub|Pres|Act	_	_	_	VER

Taceo	taceo	_	Sing	1	Ind|Pres|Act	_	_	_	VER
ceruum	ceruus	_	Sing	_	_	Acc	_	_	NOM
quod	quod	_	_	_	_	_	_	2	CONsub
et	et	_	_	_	_	_	_	1	ADV
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
aetatis	aetas	_	Sing	_	_	Gen	_	_	NOM
suae	suus	_	Sing	_	_	Gen	Fem	_	PROpos.ref
arbiter	arbiter	_	Sing	_	_	Nom	_	_	NOM
serpente	serpens	_	Sing	_	_	Abl	_	_	NOM
pastus	pascor	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
ueneno	uenenum	_	Sing	_	_	Abl	_	_	NOM
languescit	languesco	_	Sing	3	Ind|Pres|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
iuuentutem	iuuentus	_	Sing	_	_	Acc	_	_	NOM

Est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
et	et	_	_	_	_	_	_	1	ADV
Quadrupes	quadrupes	_	Sing	_	_	Nom	_	1	NOM
tardigrada	tardigradus	Pos	Sing	_	_	Nom	Fem	_	ADJqua
agrestis	agrestis	Pos	Sing	_	_	Nom	MascFem	2	ADJqua
humilis	humilis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
aspera	asper	Pos	Sing	_	_	Nom	Fem	_	ADJqua

Testudinem	testudo	_	Sing	_	_	Acc	_	_	NOM
Pacuuianam	Pacuuianus	Pos	Sing	_	_	Acc	Fem	_	ADJqua
putas	puto	_	Sing	2	Ind|Pres|Act	_	_	_	VER

Non	non	_	_	_	_	_	_	_	ADVneg
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Capit	capio	_	Sing	3	Ind|Pres|Act	_	_	2	VER
et	et	_	_	_	_	_	_	2	CONcoo
alia	alius	_	Sing	_	_	Nom	Fem	_	PROind
bestiola	bestiola	_	Sing	_	_	Nom	_	_	NOM
uersiculum	uersiculus	_	Sing	_	_	Acc	_	_	NOM
de	de	_	_	_	_	_	_	_	PRE
mediocribus	mediocris	Pos	Plur	_	_	Abl	Com	_	ADJqua
oppido	oppido	_	_	_	_	_	_	_	ADV
sed	sed	_	_	_	_	_	_	_	CONcoo
nomen	nomen	_	Sing	_	_	Nom	_	_	NOM
grande	grandis	Pos	Sing	_	_	Nom	Neut	_	ADJqua

Chamaeleontem	chamaeleon	_	Sing	_	_	Acc	_	_	NOM
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
audieris	audio	_	Sing	2	Ind|FutAnt|Act	_	_	_	VER
haud	haud	_	_	_	_	_	_	_	ADVneg
ante	ante	Pos	_	_	_	_	_	1	ADV
gnarus	gnarus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
iam	iam	Pos	_	_	_	_	_	_	ADV
timebis	timeo	_	Sing	2	Ind|Fut|Act	_	_	_	VER
aliquid	aliquis	_	Sing	_	_	Acc	Neut	_	PROind
amplius	amplus	Comp	Sing	_	_	Acc	Neut	_	ADJqua
cum	cum	_	_	_	_	_	_	2	PRE
leone	leo	_	Sing	_	_	Abl	_	_	NOM

At	at	_	_	_	_	_	_	2	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
offenderis	offendo	_	Sing	2	Ind|FutAnt|Act	_	_	_	VER
apud	apud	_	_	_	_	_	_	_	PRE
uineam	uinea	_	Sing	_	_	Acc	_	_	NOM
ferme	ferme	Pos	_	_	_	_	_	_	ADV
sub	sub	_	_	_	_	_	_	_	PRE
pampino	pampinus	_	Sing	_	_	Abl	_	_	NOM
totum	totus	_	Sing	_	_	Acc	MascNeut	_	PROind
ridebis	rideo	_	Sing	2	Ind|Fut|Act	_	_	_	VER
illico	illico	Pos	_	_	_	_	_	_	ADV
audaciam	audacia	_	Sing	_	_	Acc	_	_	NOM
egregiam	egregius	Pos	Sing	_	_	Acc	Fem	_	ADJqua
nominis	nomen	_	Sing	_	_	Gen	_	_	NOM
quippe	quippe	_	_	_	_	_	_	2	CONcoo
nec	nec	_	_	_	_	_	_	2	CONcoo
sucus	sucus	_	Sing	_	_	Nom	_	_	NOM
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
corpori	corpus	_	Sing	_	_	Dat	_	_	NOM
quod	quod	_	_	_	_	_	_	2	CONsub
minutioribus	minutus	Comp	Plur	_	_	Abl	Com	2	ADJqua
multo	multo	Pos	_	_	_	_	_	2	ADV
liquet	liqueo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Chamaeleon	chamaeleon	_	Sing	_	_	Nom	_	_	NOM
pellicula	pellicula	_	Sing	_	_	Nom	_	_	NOM
uiuit	uiuo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Capitulum	capitulum	_	Sing	_	_	Nom	_	_	NOM
statim	statim	Pos	_	_	_	_	_	_	ADV
a	ab	_	_	_	_	_	_	_	PRE
dorso	dorsum	_	Sing	_	_	Abl	_	_	NOM
nam	nam	_	_	_	_	_	_	_	CONcoo
deficit	deficio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ceruix	ceruix	_	Sing	_	_	Nom	_	_	NOM

Itaque	itaque	_	_	_	_	_	_	_	CONcoo
durum	durus	Pos	Sing	_	_	Nom	Neut	_	ADJqua
reflecti	reflecto	_	_	_	Inf|Pres|Pass	_	_	_	VER
sed	sed	_	_	_	_	_	_	_	CONcoo
circumspectu	circumspectus	_	Sing	_	_	Abl	_	1	NOM
emissicii	emissicius	Pos	Plur	_	_	Nom	Masc	_	ADJqua
ocelli	ocellus	_	Plur	_	_	Nom	_	_	NOM
immo	immo	Pos	_	_	_	_	_	_	ADV
luminis	lumen	_	Sing	_	_	Gen	_	_	NOM
puncta	punctum	_	Plur	_	_	Nom	_	_	NOM
uertiginant	uertigino	_	Plur	3	Ind|Pres|Act	_	_	_	VER

Hebes	hebes	Pos	Sing	_	_	Nom	Com	_	ADJqua
fessus	fessus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
uix	uix	Pos	_	_	_	_	_	_	ADV
a	ab	_	_	_	_	_	_	_	PRE
terra	terra	_	Sing	_	_	Abl	_	_	NOM
suspendit	suspendo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
molitur	molior	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
incessum	incessus	_	Sing	_	_	Acc	_	_	NOM
stupens	stupeo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
promouet	promoueo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
gradum	gradus	_	Sing	_	_	Acc	_	_	NOM
magis	magis	Comp	_	_	_	_	_	2	ADV
demonstrat	demonstro	_	Sing	3	Ind|Pres|Act	_	_	_	VER
quam	quam	_	_	_	_	_	_	1	ADVrel
explicat	explico	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ieiunus	ieiunus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
scilicet	scilicet	Pos	_	_	_	_	_	_	ADV
semper	semper	Pos	_	_	_	_	_	_	ADV
et	et	_	_	_	_	_	_	2	CONcoo
indefectus	indefectus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
oscitans	oscito	_	Sing	_	Par|Pres|Dep	Nom	Com	_	VER
uescitur	uescor	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
follicans	follico	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
ruminat	rumino	_	Sing	3	Ind|Pres|Act	_	_	_	VER
de	de	_	_	_	_	_	_	_	PRE
uento	uentus	_	Sing	_	_	Abl	_	_	NOM
cibus	cibus	_	Sing	_	_	Nom	_	_	NOM

Tamen	tamen	Pos	_	_	_	_	_	_	ADV
et	et	_	_	_	_	_	_	2	CONcoo
chamaeleon	chamaeleon	_	Sing	_	_	Nom	_	_	NOM
mutare	muto	_	_	_	Inf|Pres|Act	_	_	2	VER
totus	totus	_	Sing	_	_	Nom	Masc	_	PROind
nec	nec	_	_	_	_	_	_	2	CONcoo
aliud	alius	_	Sing	_	_	Acc	Neut	_	PROind
ualet	ualeo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Nam	nam	_	_	_	_	_	_	_	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
illi	ille	_	Sing	_	_	Dat	Com	_	PROdem
coloris	color	_	Sing	_	_	Gen	_	_	NOM
proprietas	proprietas	_	Sing	_	_	Nom	_	_	NOM
una	unus	_	Sing	_	_	Nom	Fem	_	ADJcar
sit	sum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
ut	ut	_	_	_	_	_	_	4	CONsub
quid	quis	_	Sing	_	_	Nom	Neut	2	PROind
accessit	accedo	_	Sing	3	Ind|Perf|Act	_	_	1	VER
inde	inde	Pos	_	_	_	_	_	_	ADV
suffunditur	suffundo	_	Sing	3	Ind|Pres|Pass	_	_	2	VER

Hoc	hic	_	Sing	_	_	Nom	Neut	1	PROdem
soli	solus	_	Sing	_	_	Dat	Com	_	PROind
chamaeleonti	chamaeleon	_	Sing	_	_	Dat	_	_	NOM
datum	do	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
uulgo	uulgus	_	Sing	_	_	Abl	_	_	NOM
dictum	dico	_	Sing	_	Par|Perf|Pass	Nom	Neut	2	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
de	de	_	_	_	_	_	_	_	PRE
corio	corium	_	Sing	_	_	Abl	_	_	NOM
suo	suus	_	Sing	_	_	Abl	MascNeut	_	PROpos.ref
ludere	ludo	_	_	_	Inf|Pres|Act	_	_	_	VER

Multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
dicendum	dico	_	Sing	_	Adj|_|Pass	Nom	Neut	2	VER
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
ut	ut	_	_	_	_	_	_	4	CONsub
ad	ad	_	_	_	_	_	_	2	PRE
hominem	homo	_	Sing	_	_	Acc	_	_	NOM
praestructim	praestructim	Pos	_	_	_	_	_	_	ADV
perueniretur	peruenio	_	Sing	3	Sub|Impa|Pass	_	_	_	VER

Hunc	hic	_	Sing	_	_	Acc	Masc	1	PROdem
quoquo	quisquis	_	Sing	_	_	Abl	Neut	1	PROrel
primordio	primordium	_	Sing	_	_	Abl	_	_	NOM
accipitis	accipio	_	Plur	2	Ind|Pres|Act	_	_	_	VER
nudus	nudus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
certe	certe	Pos	_	_	_	_	_	_	ADV
et	et	_	_	_	_	_	_	2	CONcoo
inuestis	inuestis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
figulo	figulus	_	Sing	_	_	Abl	_	_	NOM
suo	suus	_	Sing	_	_	Dat	MascNeut	_	PROpos.ref
constitit	consisto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
post	post	_	_	_	_	_	_	2	PRE
demum	demum	Pos	_	_	_	_	_	_	ADV
sapientiam	sapientia	_	Sing	_	_	Acc	_	_	NOM
haud	haud	_	_	_	_	_	_	_	ADVneg
dum	dum	_	_	_	_	_	_	2	CONsub
licitum	licitus	Pos	Sing	_	_	Nom	Neut	_	ADJqua
praereptam	praeripio	_	Sing	_	Par|Perf|Pass	Acc	Fem	_	VER
potitur	potior	_	Sing	3	Ind|Pres|Dep	_	_	_	VER

Ibidem	ibidem	Pos	_	_	_	_	_	_	ADV
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
in	in	_	_	_	_	_	_	_	PRE
nouo	nouus	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
corpore	corpus	_	Sing	_	_	Abl	_	_	NOM
indebitum	indebitus	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
adhuc	adhuc	Pos	_	_	_	_	_	_	ADV
pudori	pudor	_	Sing	_	_	Dat	_	_	NOM
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
protegere	protego	_	_	_	Inf|Pres|Act	_	_	_	VER
festinans	festino	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
ficulneis	ficulneus	Pos	Plur	_	_	Abl	Com	_	ADJqua
foliis	folium	_	Plur	_	_	Abl	_	_	NOM
interim	interim	Pos	_	_	_	_	_	_	ADV
circumdat	circumdo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
dehinc	dehinc	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	3	CONsub
de	de	_	_	_	_	_	_	_	PRE
originis	origo	_	Sing	_	_	Gen	_	_	NOM
loco	locus	_	Sing	_	_	Abl	_	_	NOM
exterminat	extermino	_	Sing	3	Ind|Pres|Act	_	_	_	VER
quippe	quippe	_	_	_	_	_	_	2	CONcoo
deliquerat	delinquo	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
pellitus	pellitus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
orbi	orbis	_	Sing	_	_	Dat	_	_	NOM
ut	ut	_	_	_	_	_	_	1	ADVrel
metallo	metallum	_	Sing	_	_	Dat	_	_	NOM
datur	do	_	Sing	3	Ind|Pres|Pass	_	_	_	VER

Sed	sed	_	_	_	_	_	_	_	CONcoo
arcana	arcanum	_	Plur	_	_	Acc	_	_	NOM
ista	iste	_	Plur	_	_	Acc	Neut	_	PROdem
nec	nec	_	_	_	_	_	_	2	CONcoo
omnium	omnis	_	Plur	_	_	Gen	Com	_	PROind
nosse	nosco	_	_	_	Inf|Perf|Act	_	_	_	VER

Cedo	cedo	_	_	_	_	_	_	2	INJ
iam	iam	Pos	_	_	_	_	_	_	ADV
de	de	_	_	_	_	_	_	_	PRE
uestro	uester	_	Sing	_	_	Abl	MascNeut	_	PROpos
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
Aegyptii	Aegyptii	_	Plur	_	_	Nom	_	_	NOM
narrant	narro	_	Plur	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
Alexander	Alexander	_	Sing	_	_	Nom	_	_	NOM
digerit	digero	_	Sing	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
mater	mater	_	Sing	_	_	Nom	_	_	NOM
legit	lego	_	Sing	3	Ind|Perf|Act	_	_	2	VER
de	de	_	_	_	_	_	_	_	PRE
tempestate	tempestas	_	Sing	_	_	Abl	_	_	NOM
Osiridis	Osiris	_	Sing	_	_	Gen	_	_	NOM
qua	qui	_	Sing	_	_	Abl	Fem	1	PROrel
ad	ad	_	_	_	_	_	_	2	PRE
illum	ille	_	Sing	_	_	Acc	Masc	_	PROdem
ex	ex	_	_	_	_	_	_	_	PRE
Libya	Libya	_	Sing	_	_	Abl	_	_	NOM
Ammon	Ammon	_	Sing	_	_	Nom	_	_	NOM
facit	facio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
ouium	ouis	_	Plur	_	_	Gen	_	_	NOM
diues	diues	Pos	Sing	_	_	Nom	Com	_	ADJqua

Denique	denique	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	2	PRE
ipsis	ipse	_	Plur	_	_	Abl	Com	_	PROdem
Mercurium	Mercurius	_	Sing	_	_	Acc	_	_	NOM
autumant	autumo	_	Plur	3	Ind|Pres|Act	_	_	_	VER
forte	forte	Pos	_	_	_	_	_	_	ADV
palpati	palpo	_	Sing	_	Par|Perf|Pass	Gen	MascNeut	2	VER
arietis	aries	_	Sing	_	_	Gen	_	_	NOM
mollitie	mollities	_	Sing	_	_	Abl	_	_	NOM
delectatum	delecto	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
deglubasse	deglubo	_	_	_	Inf|Perf|Act	_	_	_	VER
ouiculam	ouicula	_	Sing	_	_	Acc	_	_	NOM
dumque	dum界que	_	_	_	_	_	_	2	CONsub
pertemptat	pertento	_	Sing	3	Ind|Pres|Act	_	_	_	VER
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
facilitas	facilitas	_	Sing	_	_	Nom	_	_	NOM
materiae	materia	_	Sing	_	_	Gen	_	_	NOM
suadebat	suadeo	_	Sing	3	Ind|Impa|Act	_	_	_	VER
tractu	tractus	_	Sing	_	_	Abl	_	_	NOM
prosequente	prosequor	_	Sing	_	Par|Pres|Dep	Abl	Com	_	VER
filum	filum	_	Sing	_	_	Acc	_	_	NOM
eliquat	eliquo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
retis	rete	_	Sing	_	_	Gen	_	_	NOM
pristini	pristinus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
modum	modus	_	Sing	_	_	Acc	_	_	NOM
quem	qui	_	Sing	_	_	Acc	Masc	1	PROrel
philyrae	philyra	_	Sing	_	_	Gen	_	_	NOM
taeniis	taenia	_	Plur	_	_	Abl	_	_	NOM
iunxerat	iungo	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
texuisse	texo	_	_	_	Inf|Perf|Act	_	_	_	VER

Sed	sed	_	_	_	_	_	_	_	CONcoo
uos	uos	_	Plur	_	_	Nom	_	_	PROper
omnem	omnis	_	Sing	_	_	Acc	MascFem	_	PROind
lanicii	lanitium	_	Sing	_	_	Gen	_	_	NOM
dispensationem	dispensatio	_	Sing	_	_	Acc	_	_	NOM
structuramque	structura界que	_	Sing	_	_	Acc	_	_	NOM
telarum	tela	_	Plur	_	_	Gen	_	_	NOM
Mineruae	Minerua	_	Sing	_	_	Dat	_	_	NOM
maluistis	malo	_	Plur	2	Ind|Perf|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
penes	penes	_	_	_	_	_	_	_	PRE
Arachnen	Arachne	_	Sing	_	_	Acc	_	_	NOM
diligentior	diligens	Comp	Sing	_	_	Nom	MascFem	_	ADJqua
officina	officina	_	Sing	_	_	Nom	_	_	NOM

Exinde	exinde	Pos	_	_	_	_	_	_	ADV
materia	materia	_	Sing	_	_	Nom	_	_	NOM
nec	nec	_	_	_	_	_	_	2	CONcoo
de	de	_	_	_	_	_	_	_	PRE
ouibus	ouis	_	Plur	_	_	Abl	_	_	NOM
dico	dico	_	Sing	1	Ind|Pres|Act	_	_	2	VER
Milesiis	Milesius	_	Plur	_	_	Abl	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
Selgicis	Selgicus	_	Plur	_	_	Abl	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
Altinis	Altinus	_	Plur	_	_	Abl	_	_	NOM
aut	aut	_	_	_	_	_	_	_	CONcoo
quis	qui	_	Plur	_	_	Abl	Com	1	PROrel
Tarentum	Tarentum	_	Sing	_	_	Nom	_	_	NOM
uel	uel	_	_	_	_	_	_	2	CONcoo
Baetica	Baetica	_	Sing	_	_	Nom	_	_	NOM
cluet	clueo	_	Sing	3	Ind|Pres|Act	_	_	_	VER
natura	natura	_	Sing	_	_	Abl	_	_	NOM
colorante	coloro	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
sed	sed	_	_	_	_	_	_	_	CONcoo
quoniam	quoniam	_	_	_	_	_	_	_	CONsub
et	et	_	_	_	_	_	_	2	CONcoo
arbusta	arbustum	_	Plur	_	_	Nom	_	_	NOM
uestiunt	uestio	_	Plur	3	Ind|Pres|Act	_	_	_	VER
dehinc	dehinc	_	_	_	_	_	_	_	ADV
herbida	herbidus	Pos	Plur	_	_	Nom	Neut	_	ADJqua
post	post	_	_	_	_	_	_	2	PRE
uirorem	uiror	_	Sing	_	_	Acc	_	_	NOM
lauacro	lauacrum	_	Sing	_	_	Abl	_	_	NOM
niuescunt	niuesco	_	Plur	3	Ind|Pres|Act	_	_	_	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
satis	satis	Pos	_	_	_	_	_	2	ADV
tunicam	tunica	_	Sing	_	_	Acc	_	_	NOM
pangere	pango	_	_	_	Inf|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
serere	sero	_	_	_	Inf|Pres|Act	_	_	3	VER
ni	ni	_	_	_	_	_	_	2	CONsub
etiam	etiam	Pos	_	_	_	_	_	_	ADV
piscari	piscor	_	_	_	Inf|Pres|Dep	_	_	_	VER
uestitum	uestitus	_	Sing	_	_	Acc	_	1	NOM
contigisset	contingo	_	Sing	3	Sub|Pqp|Act	_	_	1	VER

Nam	nam	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
de	de	_	_	_	_	_	_	_	PRE
mari	mare	_	Sing	_	_	Abl	_	_	NOM
uellera	uellus	_	Plur	_	_	Acc	_	_	NOM
quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
muscosae	muscosus	Pos	Sing	_	_	Gen	Fem	_	ADJqua
lanositatis	lanositas	_	Sing	_	_	Gen	_	_	NOM
plautiores	lautus	Comp	Plur	_	_	Nom	MascFem	_	ADJqua
conchae	concha	_	Plur	_	_	Nom	_	_	NOM
