token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
deportati	deporto	_	Plur	_	Par|Perf|Pass	Nom	Masc	_	VER
fuerant	sum	_	Plur	3	Ind|Pqp|Act	_	_	1	VER
reuocari	reuoco	_	_	_	Inf|Pres|Pass	_	_	_	VER
iussit	iubeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
paucissimi	paucus	Sup	Plur	_	_	Nom	Masc	_	ADJqua
centuriones	centurio	_	Plur	_	_	Nom	_	1	NOMcom
capite	caput	_	Sing	_	_	Abl	_	_	NOMcom
essent	sum	_	Plur	3	Sub|Impa|Act	_	_	1	VER
puniti	punio	_	Plur	_	Par|Perf|Pass	Nom	Masc	_	VER

Ignouit	ignosco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	1	ADV
ciuitatibus	ciuitas	_	Plur	_	_	Dat	_	_	NOMcom
quae	qui	_	Plur	_	_	Nom	Fem	1	PROrel
Cassio	Cassius	_	Sing	_	_	Dat	_	_	NOMpro
consenserant	consentio	_	Plur	3	Ind|Pqp|Act	_	_	_	VER
ignouit	ignosco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	1	ADV
Antiochensibus	Antiochenses	_	Plur	_	_	Dat	_	_	NOMpro
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
in	in	_	_	_	_	_	_	_	PRE
Marcum	Marcus	_	Sing	_	_	Acc	_	_	NOMpro
pro	pro	_	_	_	_	_	_	1	PRE
Cassio	Cassius	_	Sing	_	_	Abl	_	_	NOMpro
dixerant	dico	_	Plur	3	Ind|Pqp|Act	_	_	2	VER

Quibus	qui	_	Plur	_	_	Dat	Com	1	PROrel
et	et	_	_	_	_	_	_	2	CONcoo
spectacula	spectaculum	_	Plur	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
conuentus	conuentus	_	Plur	_	_	Acc	_	_	NOMcom
publicos	publicus	Pos	Plur	_	_	Acc	Masc	2	ADJqua
tulerat	fero	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
omnium	omnis	_	Plur	_	_	Gen	Com	_	PROind
contionum	contio	_	Plur	_	_	Gen	_	_	NOMcom
genus	genus	_	Sing	_	_	Acc	_	1	NOMcom
contra	contra	_	_	_	_	_	_	2	PRE
quos	qui	_	Plur	_	_	Acc	Masc	1	PROrel
edictum	edictum	_	Sing	_	_	Acc	_	_	NOMcom
grauissimum	grauis	Sup	Sing	_	_	Acc	MascNeut	_	ADJqua
misit	mitto	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Seditiosos	seditiosus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
autem	autem	_	_	_	_	_	_	_	CONcoo
eos	is	_	Plur	_	_	Acc	Masc	_	PROdem
et	et	_	_	_	_	_	_	1	ADV
oratio	oratio	_	Sing	_	_	Nom	_	_	NOMcom
Marci	Marcus	_	Sing	_	_	Gen	_	_	NOMpro
indicat	indico	_	Sing	3	Ind|Pres|Act	_	_	2	VER
indita	indo	_	Sing	_	Par|Perf|Pass	Nom	Fem	_	VER
a	ab	_	_	_	_	_	_	_	PRE
Mario	Marius	_	Sing	_	_	Abl	_	_	NOMpro
Maximo	Maximus	_	Sing	_	_	Abl	_	_	NOMpro
qua	qui	_	Sing	_	_	Abl	Fem	1	PROrel
ille	ille	_	Sing	_	_	Nom	Masc	_	PROdem
usus	usus	_	Sing	_	_	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
apud	apud	_	_	_	_	_	_	_	PRE
amicos	amicus	_	Plur	_	_	Acc	_	1	NOMcom

Denique	denique	Pos	_	_	_	_	_	_	ADV
noluit	nolo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
Antiochiam	Antiochia	_	Sing	_	_	Acc	_	_	NOMpro
uidere	uideo	_	_	_	Inf|Pres|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
Syriam	Syria	_	Sing	_	_	Acc	_	_	NOMpro
peteret	peto	_	Sing	3	Sub|Impa|Act	_	_	_	VER

Nam	nam	_	_	_	_	_	_	_	CONcoo
nec	nec	_	_	_	_	_	_	2	CONcoo
Cyrrum	Cyrrus	_	Sing	_	_	Acc	_	_	NOMpro
uoluit	uolo	_	Sing	3	Ind|Perf|Act	_	_	3	VER
uidere	uideo	_	_	_	Inf|Pres|Act	_	_	_	VER
ex	ex	_	_	_	_	_	_	_	PRE
qua	qui	_	Sing	_	_	Abl	Fem	1	PROrel
erat	sum	_	Sing	3	Ind|Impa|Act	_	_	1	VER
Cassius	Cassius	_	Sing	_	_	Nom	_	_	NOMpro

Fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
Alexandriae	Alexandria	_	Sing	_	_	Loc	_	_	NOMcom
clementer	clementer	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	3	CONsub
his	hic	_	Plur	_	_	Abl	Com	1	PROdem
agens	ago	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER

Postea	postea	Pos	_	_	_	_	_	_	ADV
tamen	tamen	Pos	_	_	_	_	_	_	ADV
Antiochiam	Antiochia	_	Sing	_	_	Acc	_	_	NOMpro
uidit	uideo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
egit	ago	_	Sing	3	Ind|Perf|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	2	PRE
regibus	rex	_	Plur	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
pacem	pax	_	Sing	_	_	Acc	_	_	NOMcom
confirmauit	confirmo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
occurrentibus	occurro	_	Plur	_	Par|Pres|Act	Abl	Com	_	VER
cunctis	cunctus	Pos	Plur	_	_	Abl	Com	_	ADJqua
regibus	rex	_	Plur	_	_	Abl	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
legatis	legatus	_	Plur	_	_	Abl	_	_	NOMcom
Persarum	Persae	_	Plur	_	_	Gen	_	_	NOMpro

Omnibus	omnis	_	Plur	_	_	Abl	Com	_	PROind
orientalibus	orientalis	Pos	Plur	_	_	Abl	Com	_	ADJqua
prouinciis	prouincia	_	Plur	_	_	Abl	_	_	NOMcom
carissimus	carus	Sup	Sing	_	_	Nom	Masc	_	ADJqua
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER

Apud	apud	_	_	_	_	_	_	_	PRE
multas	multus	Pos	Plur	_	_	Acc	Fem	_	ADJqua
etiam	etiam	Pos	_	_	_	_	_	_	ADV
philosophiae	philosophia	_	Sing	_	_	Gen	_	_	NOMcom
uestigia	uestigium	_	Plur	_	_	Acc	_	_	NOMcom
reliquit	relinquo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Apud	apud	_	_	_	_	_	_	_	PRE
Aegyptios	Aegyptii	_	Plur	_	_	Acc	_	_	NOMpro
ciuem	ciuis	_	Sing	_	_	Acc	_	_	NOMcom
se	sui	_	Sing	_	_	Acc	_	1	PROref
egit	ago	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
philosophum	philosophus	_	Sing	_	_	Acc	_	1	NOMcom
in	in	_	_	_	_	_	_	_	PRE
omnibus	omnis	_	Plur	_	_	Abl	Com	_	PROind
studiis	studium	_	Plur	_	_	Abl	_	_	NOMcom
templis	templum	_	Plur	_	_	Abl	_	_	NOMcom
locis	locus	_	Plur	_	_	Abl	_	_	NOMcom

Et	et	_	_	_	_	_	_	2	CONcoo
cum	cum	_	_	_	_	_	_	3	CONsub
multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
Alexandrini	Alexandrini	_	Plur	_	_	Nom	_	_	NOMpro
in	in	_	_	_	_	_	_	_	PRE
Cassium	Cassius	_	Sing	_	_	Acc	_	_	NOMpro
dixissent	dico	_	Plur	3	Sub|Pqp|Act	_	_	2	VER
fausta	faustus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
tamen	tamen	Pos	_	_	_	_	_	_	ADV
omnibus	omnis	_	Plur	_	_	Dat	Com	_	PROind
ignouit	ignosco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
filiam	filia	_	Sing	_	_	Acc	_	_	NOMcom
suam	suus	_	Sing	_	_	Acc	Fem	_	PROpos.ref
apud	apud	_	_	_	_	_	_	_	PRE
eos	is	_	Plur	_	_	Acc	Masc	_	PROdem
relinquit	relinquo	_	Sing	3	Ind|Pres|Act	_	_	_	VER

Faustinam	Faustina	_	Sing	_	_	Acc	_	_	NOMpro
suam	suus	_	Sing	_	_	Acc	Fem	_	PROpos.ref
in	in	_	_	_	_	_	_	_	PRE
radicibus	radix	_	Plur	_	_	Abl	_	_	NOMcom
montis	mons	_	Sing	_	_	Gen	_	_	NOMcom
Tauri	Taurus	_	Sing	_	_	Gen	_	_	NOMpro
in	in	_	_	_	_	_	_	_	PRE
uico	uicus	_	Sing	_	_	Abl	_	_	NOMcom
Halalae	Halala	_	Sing	_	_	Gen	_	_	NOMpro
exanimatam	exanimo	_	Sing	_	Par|Perf|Pass	Acc	Fem	_	VER
ui	uis	_	Sing	_	_	Abl	_	_	NOMcom
subiti	subitus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
morbi	morbus	_	Sing	_	_	Gen	_	_	NOMcom
amisit	amitto	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Petit	peto	_	Sing	3	Ind|Pres|Act	_	_	_	VER
a	ab	_	_	_	_	_	_	_	PRE
senatu	senatus	_	Sing	_	_	Abl	_	_	NOMcom
ut	ut	_	_	_	_	_	_	4	CONsub
honores	honor	_	Plur	_	_	Acc	_	_	NOMcom
Faustinae	Faustina	_	Sing	_	_	Dat	_	_	NOMpro
aedemque	aedes界que	_	Sing	_	_	Acc	_	_	NOMcom
decernerent	decerno	_	Plur	3	Sub|Impa|Act	_	_	_	VER
laudata	laudo	_	Sing	_	Par|Perf|Pass	Abl	Fem	_	VER
eadem	idem	_	Sing	_	_	Abl	Fem	_	PROdem
cum	cum	_	_	_	_	_	_	3	CONsub
inpudicitiae	impudicitia	_	Sing	_	_	Gen	_	_	NOMcom
fama	fama	_	Sing	_	_	Nom	_	_	NOMcom
grauiter	grauiter	Pos	_	_	_	_	_	_	ADV
laborasset	laboro	_	Sing	3	Sub|Pqp|Act	_	_	_	VER

Quae	qui	_	Plur	_	_	Acc	Neut	1	PROrel
Antoninus	Antoninus	_	Sing	_	_	Nom	_	_	NOMpro
uel	uel	_	_	_	_	_	_	2	CONcoo
nesciit	nescio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
uel	uel	_	_	_	_	_	_	2	CONcoo
dissimulauit	dissimulo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Nouas	nouus	Pos	Plur	_	_	Acc	Fem	_	ADJqua
puellas	puella	_	Plur	_	_	Acc	_	_	NOMcom
Faustinianas	Faustinianus	Pos	Plur	_	_	Acc	Fem	_	ADJqua
instituit	instituo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
honorem	honor	_	Sing	_	_	Acc	_	_	NOMcom
uxoris	uxor	_	Sing	_	_	Gen	_	_	NOMcom
mortuae	mortuus	Pos	Sing	_	_	Gen	Fem	2	ADJqua

Diuam	diuus	Pos	Sing	_	_	Acc	Fem	2	ADJqua
etiam	etiam	Pos	_	_	_	_	_	_	ADV
Faustinam	Faustina	_	Sing	_	_	Acc	_	_	NOMpro
a	ab	_	_	_	_	_	_	_	PRE
senatu	senatus	_	Sing	_	_	Abl	_	_	NOMcom
appellatam	appello	_	Sing	_	Par|Perf|Pass	Acc	Fem	1	VER
gratulatus	gratulor	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Quam	qui	_	Sing	_	_	Acc	Fem	1	PROrel
secum	sui界cum	_	Sing	_	_	Abl	_	1	PROref
et	et	_	_	_	_	_	_	2	CONcoo
in	in	_	_	_	_	_	_	_	PRE
aestiuis	aestiua	_	Plur	_	_	Abl	_	_	NOMcom
habuerat	habeo	_	Sing	3	Ind|Pqp|Act	_	_	_	VER
ut	ut	_	_	_	_	_	_	4	CONsub
matrem	mater	_	Sing	_	_	Acc	_	_	NOMcom
castrorum	castra	_	Plur	_	_	Gen	_	2	NOMcom
appellaret	appello	_	Sing	3	Sub|Impa|Act	_	_	1	VER

Fecit	facio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	1	ADV
coloniam	colonia	_	Sing	_	_	Acc	_	_	NOMcom
uicum	uicus	_	Sing	_	_	Acc	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
quo	qui	_	Sing	_	_	Abl	MascNeut	1	PROrel
obiit	obeo	_	Sing	3	Ind|Perf|Act	_	_	1	VER
Faustina	Faustina	_	Sing	_	_	Nom	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
aedem	aedes	_	Sing	_	_	Acc	_	_	NOMcom
exstruxit	exstruo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Sed	sed	_	_	_	_	_	_	_	CONcoo
haec	hic	_	Sing	_	_	Nom	Fem	1	PROdem
postea	postea	Pos	_	_	_	_	_	_	ADV
aedis	aedes	_	Sing	_	_	Nom	_	_	NOMcom
Heliogabalo	Elagabalus	_	Sing	_	_	Dat	_	_	NOMpro
dedicata	dedico	_	Sing	_	Par|Perf|Pass	Nom	Fem	1	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Ipsum	ipse	_	Sing	_	_	Acc	Masc	_	PROdem
Cassium	Cassius	_	Sing	_	_	Acc	_	_	NOMpro
pro	pro	_	_	_	_	_	_	1	PRE
clementia	clementia	_	Sing	_	_	Abl	_	_	NOMcom
occisum	occido	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	2	VER
passus	patior	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
non	non	_	_	_	_	_	_	_	ADVneg
occidi	occido	_	_	_	Inf|Pres|Pass	_	_	2	VER
iussit	iubeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Deportatus	deporto	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
Heliodorus	Heliodorus	_	Sing	_	_	Nom	_	_	NOMpro
filius	filius	_	Sing	_	_	Nom	_	_	NOMcom
Cassi	Cassius	_	Sing	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
alii	alius	_	Plur	_	_	Nom	Masc	_	PROind
liberum	liber	Pos	Plur	_	_	Gen	Com	2	ADJqua
exilium	exsilium	_	Sing	_	_	Acc	_	_	NOMcom
acceperunt	accipio	_	Plur	3	Ind|Perf|Act	_	_	_	VER
cum	cum	_	_	_	_	_	_	3	CONsub
bonorum	bonum	_	Plur	_	_	Gen	_	_	NOMcom
partem	pars	_	Sing	_	_	Acc	_	_	NOMcom

Filii	filius	_	Plur	_	_	Nom	_	_	NOMcom
autem	autem	_	_	_	_	_	_	_	CONcoo
Cassii	Cassius	_	Plur	_	_	Nom	_	_	NOMpro
et	et	_	_	_	_	_	_	1	ADV
amplius	ample	Comp	_	_	_	_	_	_	ADV
media	medius	Pos	Sing	_	_	Abl	Fem	_	ADJqua
parte	pars	_	Sing	_	_	Abl	_	_	NOMcom
acceperunt	accipio	_	Plur	3	Ind|Perf|Act	_	_	_	VER
paterni	paternus	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
patrimonii	patrimonium	_	Sing	_	_	Gen	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
auro	aurum	_	Sing	_	_	Abl	_	_	NOMcom
atque	atque	_	_	_	_	_	_	1	CONcoo
argento	argentum	_	Sing	_	_	Abl	_	_	NOMcom
adiuti	adiuuo	_	Plur	_	Par|Perf|Pass	Nom	Masc	_	VER
mulieres	mulier	_	Plur	_	_	Nom	_	_	NOMcom
autem	autem	_	_	_	_	_	_	_	CONcoo
etiam	etiam	Pos	_	_	_	_	_	_	ADV
ornamentis	ornamentum	_	Plur	_	_	Abl	_	_	NOMcom
ita	ita	Pos	_	_	_	_	_	_	ADV
ut	ut	_	_	_	_	_	_	4	CONsub
Alexandria	Alexandria	_	Sing	_	_	Nom	_	_	NOMpro
filia	filia	_	Sing	_	_	Nom	_	_	NOMcom
Cassii	Cassius	_	Plur	_	_	Gen	_	_	NOMpro
et	et	_	_	_	_	_	_	2	CONcoo
Druncianus	Druncianus	_	Sing	_	_	Nom	_	_	NOMpro
gener	gener	_	Sing	_	_	Nom	_	_	NOMcom
liberam	liber	Pos	Sing	_	_	Acc	Fem	2	ADJqua
uagandi	uagor	_	Sing	_	Ger|_|Act	Gen	_	2	VER
potestatem	potestas	_	Sing	_	_	Acc	_	_	NOMcom
haberent	habeo	_	Plur	3	Sub|Impa|Act	_	_	_	VER
commendati	commendo	_	Plur	_	Par|Perf|Pass	Nom	Masc	_	VER
amitae	amita	_	Sing	_	_	Dat	_	_	NOMcom
marito	maritus	_	Sing	_	_	Dat	_	1	NOMcom

Doluit	doleo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
denique	denique	Pos	_	_	_	_	_	_	ADV
Cassium	Cassius	_	Sing	_	_	Acc	_	_	NOMpro
extinctum	exstinguo	_	Sing	_	Par|Perf|Pass	Acc	MascNeut	_	VER
dicens	dico	_	Sing	_	Par|Pres|Act	Nom	Com	2	VER
uoluisse	uolo	_	_	_	Inf|Perf|Act	_	_	3	VER
se	sui	_	Sing	_	_	Acc	_	1	PROref
sine	sine	_	_	_	_	_	_	_	PRE
senatorio	senatorius	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
sanguine	sanguis	_	Sing	_	_	Abl	_	_	NOMcom
imperium	imperium	_	Sing	_	_	Acc	_	_	NOMcom
transigere	transigo	_	_	_	Inf|Pres|Act	_	_	_	VER

uoluisse	uolo	_	_	_	Inf|Perf|Act	_	_	3	VER
se	sui	_	Sing	_	_	Acc	_	1	PROref

Orientalibus	orientalis	Pos	Plur	_	_	Abl	Com	_	ADJqua
rebus	res	_	Plur	_	_	Abl	_	_	NOMcom
ordinatis	ordino	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
Athenis	Athenae	_	Plur	_	_	Abl	_	_	NOMcom
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
et	et	_	_	_	_	_	_	2	CONcoo
initialia	initialis	Pos	Plur	_	_	Acc	Neut	_	ADJqua
Cereris	Ceres	_	Sing	_	_	Gen	_	_	NOMpro
adit	adeo	_	Sing	3	Ind|Pres|Act	_	_	1	VER
ut	ut	_	_	_	_	_	_	4	CONsub
se	sui	_	Sing	_	_	Acc	_	1	PROref
innocentem	innocens	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
probaret	probo	_	Sing	3	Sub|Impa|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
sacrarium	sacrarium	_	Sing	_	_	Acc	_	_	NOMcom
solus	solus	_	Sing	_	_	Nom	Masc	_	PROind
ingressus	ingredior	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Reuertens	reuertor	_	Sing	_	Par|Pres|Dep	Nom	Com	_	VER
ad	ad	_	_	_	_	_	_	2	PRE
Italiam	Italia	_	Sing	_	_	Acc	_	_	NOMpro
nauigio	nauigium	_	Sing	_	_	Abl	_	_	NOMcom
tempestatem	tempestas	_	Sing	_	_	Acc	_	_	NOMcom
grauissimam	grauis	Sup	Sing	_	_	Acc	Fem	_	ADJqua
passus	patior	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Per	per	_	_	_	_	_	_	_	PRE
Brundisium	Brundisium	_	Sing	_	_	Acc	_	_	NOMpro
ueniens	uenio	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
in	in	_	_	_	_	_	_	_	PRE
Italiam	Italia	_	Sing	_	_	Acc	_	_	NOMpro
togam	toga	_	Sing	_	_	Acc	_	_	NOMcom
et	et	_	_	_	_	_	_	2	CONcoo
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
sumpsit	sumo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
milites	miles	_	Plur	_	_	Acc	_	_	NOMcom
togatos	togatus	Pos	Plur	_	_	Acc	Masc	_	ADJqua
esse	sum	_	_	_	Inf|Pres|Act	_	_	1	VER
iussit	iubeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
nec	nec	_	_	_	_	_	_	2	CONcoo
umquam	umquam	Pos	_	_	_	_	_	_	ADV
sagati	sagatus	Pos	Plur	_	_	Nom	Masc	_	ADJqua
fuerunt	sum	_	Plur	3	Ind|Perf|Act	_	_	1	VER
sub	sub	_	_	_	_	_	_	_	PRE
eo	is	_	Sing	_	_	Abl	MascNeut	_	PROdem
milites	miles	_	Plur	_	_	Nom	_	_	NOMcom

Romam	Roma	_	Sing	_	_	Acc	_	_	NOMcom
ut	ut	_	_	_	_	_	_	4	CONsub
uenit	uenio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
triumphauit	triumpho	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
inde	inde	Pos	_	_	_	_	_	_	ADV
Lauinium	Lauinium	_	Sing	_	_	Acc	_	_	NOMpro
profectus	proficiscor	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER

Commodum	Commodus	_	Sing	_	_	Acc	_	_	NOMpro
deinde	deinde	Pos	_	_	_	_	_	_	ADV
