form	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
diebus	dies	_	Plur	_	_	Abl	_	_	NOM
Iosiae	Iosias	_	Plur	_	_	Gen	_	_	NOM
filii	filius	_	Sing	_	_	Gen	_	_	NOM
Iosiae	Iosias	_	Sing	_	_	Gen	_	_	NOM
regis	rex	_	Sing	_	_	Gen	_	_	NOM
Iuda	Iuda	_	_	_	_	Ind	_	_	NOM
usque	usque	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
consummationem	consummatio	_	Sing	_	_	Acc	_	_	NOM
undecimi	undecimus	Pos	Sing	_	_	Gen	MascNeut	_	ADJord
anni	annus	_	Plur	_	_	Nom	_	_	NOM
Sedeciae	Sedecias	_	Sing	_	_	Gen	_	_	NOM
filii	filius	_	Sing	_	_	Gen	_	_	NOM
Iosiae	Iosias	_	Sing	_	_	Gen	_	_	NOM
regis	rex	_	Sing	_	_	Gen	_	_	NOM
Iuda	Iuda	_	_	_	_	Ind	_	_	NOM
usque	usque	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
transmigrationem	transmigratio	_	Sing	_	_	Acc	_	_	NOM
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
mense	mensis	_	Sing	_	_	Abl	_	_	NOM
quinto	quintus	Pos	Sing	_	_	Abl	MascNeut	_	ADJord

Ceteri	ceterus	Pos	Plur	_	_	Nom	Masc	_	ADJqua
prophetae	propheta	_	Plur	_	_	Nom	_	_	NOM
ut	ut	_	_	_	_	_	_	1	ADVrel
Isaias	Esaias	_	Sing	_	_	Nom	_	_	NOM
Osee	Osee	_	_	_	_	Ind	_	_	NOM
Iohel	Ioel	_	_	_	_	Ind	_	_	NOM
fuerunt	sum	_	Plur	3	Ind|Perf|Act	_	_	1	VER
ante	ante	_	_	_	_	_	_	2	PRE
captiuitatem	captiuitas	_	Sing	_	_	Acc	_	_	NOM
decem	decem	_	_	_	_	Ind	_	_	ADJcar
tribuum	tribus	_	Plur	_	_	Gen	_	_	NOM
Israhel	Israel	_	_	_	_	Ind	_	_	NOM
siue	siue	_	_	_	_	_	_	1	CONcoo
duarum	duo	_	Plur	_	_	Gen	Fem	_	ADJcar
tribuum	tribus	_	Plur	_	_	Gen	_	_	NOM
Iudae	Iuda	_	Sing	_	_	Gen	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
Beniamin	Beniamin	_	_	_	_	Ind	_	_	NOM
alii	alius	_	Plur	_	_	Nom	Masc	_	PROind
post	post	_	_	_	_	_	_	2	PRE
captiuitatem	captiuitas	_	Sing	_	_	Acc	_	_	NOM
ut	ut	_	_	_	_	_	_	1	ADVrel
Danihel	Daniel	_	Sing	_	_	Nom	_	_	NOM
Aggeus	Aggaeus	_	Sing	_	_	Nom	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
Zacharias	Zacharia	_	Sing	_	_	Nom	_	_	NOM
Hieremias	Hieremias	_	Sing	_	_	Nom	_	_	NOM
uero	uero	_	_	_	_	_	_	4	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
Hiezechiel	Ezechiel	_	Sing	_	_	Nom	_	_	NOM
inminente	immineo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
captiuitate	captiuitas	_	Sing	_	_	Abl	_	_	NOM
uaticinium	uaticinium	_	Sing	_	_	Acc	_	_	NOM
texuerunt	tego	_	Plur	3	Ind|Perf|Act	_	_	_	VER
sed	sed	_	_	_	_	_	_	_	CONcoo
alter	alter	_	Sing	_	_	Nom	Masc	_	PROind
eorum	is	_	Plur	_	_	Gen	MascNeut	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
terra	terra	_	Sing	_	_	Abl	_	_	NOM
Iuda	Iuda	_	_	_	_	Ind	_	_	NOM
alter	alter	_	Sing	_	_	Nom	Masc	_	PROind
in	in	_	_	_	_	_	_	_	PRE
Babylone	Babylon	_	Sing	_	_	Abl	_	_	NOM

Hieremias	Hieremias	_	Sing	_	_	Nom	_	_	NOM
cum	cum	_	_	_	_	_	_	3	CONsub
esset	sum	_	Sing	3	Sub|Impa|Act	_	_	1	VER
adhuc	adhuc	Pos	_	_	_	_	_	_	ADV
puer	puer	_	Sing	_	_	Nom	_	_	NOM
prophetare	propheto	_	_	_	Inf|Pres|Act	_	_	_	VER
coepit	coepio	_	Sing	3	Ind|Perf|Act	_	_	_	VER
anno	annus	_	Sing	_	_	Abl	_	_	NOM
tertio	tertius	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
decimo	decimus	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
Iosiae	Iosias	_	Sing	_	_	Gen	_	_	NOM
filii	filius	_	Sing	_	_	Gen	_	_	NOM
Amon	Amon	_	_	_	_	Ind	_	_	NOM
regis	rex	_	Sing	_	_	Gen	_	_	NOM
Iudae	Iuda	_	Sing	_	_	Gen	_	_	NOM
prophetauitque	propheto界que	_	Sing	3	Ind|Perf|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
imperio	imperium	_	Sing	_	_	Abl	_	_	NOM
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
annis	annus	_	Plur	_	_	Abl	_	_	NOM
decem	decem	_	_	_	_	Ind	_	_	ADJcar
et	et	_	_	_	_	_	_	2	CONcoo
nouem	nouem	_	_	_	_	Ind	_	_	ADJcar
et	et	_	_	_	_	_	_	2	CONcoo
postea	postea	Pos	_	_	_	_	_	_	ADV
sub	sub	_	_	_	_	_	_	_	PRE
Ioiacim	Ioacim	_	_	_	_	Ind	_	_	NOM
filio	filius	_	Sing	_	_	Abl	_	_	NOM
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
annis	annus	_	Plur	_	_	Abl	_	_	NOM
undecim	undecim	_	_	_	_	Ind	_	_	ADJcar
et	et	_	_	_	_	_	_	2	CONcoo
sub	sub	_	_	_	_	_	_	_	PRE
Sedecia	Sedecias	_	Sing	_	_	Abl	_	_	NOM
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
ultimus	ultimus	Pos	Sing	_	_	Nom	Masc	_	ADJqua
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
regum	rex	_	Plur	_	_	Gen	_	_	NOM
Iuda	Iuda	_	_	_	_	Ind	_	_	NOM

annis	annus	_	Plur	_	_	Abl	_	_	NOM
undecim	undecim	_	_	_	_	Ind	_	_	ADJcar
usque	usque	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
quintum	quintus	Pos	Sing	_	_	Acc	MascNeut	_	ADJord
mensem	mensis	_	Sing	_	_	Acc	_	_	NOM
quando	quando	_	_	_	_	_	_	3	CONsub
a	ab	_	_	_	_	_	_	_	PRE
Babyloniis	Babylonius	Pos	Plur	_	_	Abl	Com	_	ADJqua
capta	capio	_	Sing	_	Par|Perf|Pass	Nom	Fem	2	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOM

Ioachaz	Ioachaz	_	_	_	_	Ind	_	_	NOM
uero	uero	_	_	_	_	_	_	4	CONcoo
et	et	_	_	_	_	_	_	2	CONcoo
Iechoniae	Iechonias	_	Sing	_	_	Gen	_	_	NOM
terni	ternus	_	Plur	_	_	Nom	Masc	_	ADJdis
menses	mensis	_	Plur	_	_	Nom	_	_	NOM
quorum	qui	_	Plur	_	_	Gen	MascNeut	1	PROrel
alter	alter	_	Sing	_	_	Nom	Masc	_	PROind
in	in	_	_	_	_	_	_	_	PRE
Aegyptum	Aegyptus	_	Sing	_	_	Acc	_	_	NOM
alter	alter	_	Sing	_	_	Nom	Masc	_	PROind
cum	cum	_	_	_	_	_	_	2	PRE
matre	mater	_	Sing	_	_	Abl	_	_	NOM
ductus	duco	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
Babylonem	Babylon	_	Sing	_	_	Acc	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
supradictis	supradico	_	Plur	_	Par|Perf|Pass	Abl	Com	2	VER
annis	annus	_	Plur	_	_	Abl	_	_	NOM
conputantur	computo	_	Plur	3	Ind|Pres|Pass	_	_	_	VER

ac	ac	_	_	_	_	_	_	1	CONcoo
per	per	_	_	_	_	_	_	_	PRE
hoc	hic	_	Sing	_	_	Acc	Neut	1	PROdem
ab	ab	_	_	_	_	_	_	_	PRE
exordio	exordium	_	Sing	_	_	Abl	_	_	NOM
prophetiae	prophetia	_	Sing	_	_	Gen	_	_	NOM
suae	suus	_	Sing	_	_	Gen	Fem	_	PROpos.ref
usque	usque	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
captiuitatem	captiuitas	_	Sing	_	_	Acc	_	_	NOM
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
qua	qui	_	Sing	_	_	Abl	Fem	1	PROrel
et	et	_	_	_	_	_	_	1	ADV
ipse	ipse	_	Sing	_	_	Nom	Masc	_	PROdem
captus	capio	_	Sing	_	Par|Perf|Pass	Nom	Masc	2	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
prophetauit	propheto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
annis	annus	_	Plur	_	_	Abl	_	_	NOM
quadraginta	quadraginta	_	_	_	_	Ind	_	_	ADJcar
et	et	_	_	_	_	_	_	2	CONcoo
uno	unus	_	Sing	_	_	Abl	MascNeut	_	ADJcar
praeter	praeter	_	_	_	_	_	_	2	PRE
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
tempus	tempus	_	Sing	_	_	Acc	_	1	NOM
quando	quando	_	_	_	_	_	_	3	CONsub
ductus	duco	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
in	in	_	_	_	_	_	_	_	PRE
Aegyptum	Aegyptus	_	Sing	_	_	Acc	_	_	NOM

ibique	ibi界que	Pos	_	_	_	_	_	_	ADV
prophetauit	propheto	_	Sing	3	Ind|Perf|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
Taphnis	Tanis	_	_	_	_	Ind	_	_	NOM
ut	ut	_	_	_	_	_	_	1	ADVrel
hoc	hic	_	Sing	_	_	Abl	MascNeut	1	PROdem
ipso	ipse	_	Sing	_	_	Abl	MascNeut	_	PROdem
uolumine	uolumen	_	Sing	_	_	Abl	_	_	NOM
continetur	contineo	_	Sing	3	Ind|Pres|Pass	_	_	_	VER

pro	pro	_	_	_	_	_	_	1	PRE
uerbis	uerbum	_	Plur	_	_	Abl	_	_	NOM
Hieremiae	Hieremias	_	Sing	_	_	Gen	_	_	NOM
Septuaginta	septuaginta	_	_	_	_	Ind	_	_	ADJcar
posuerunt	pono	_	Plur	3	Ind|Perf|Act	_	_	_	VER
uerbum	uerbum	_	Sing	_	_	Nom	_	_	NOM
dei	deus	_	Sing	_	_	Gen	_	_	NOM
quod	qui	_	Sing	_	_	Nom	Neut	1	PROrel
factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
ad	ad	_	_	_	_	_	_	2	PRE
Hieremiam	Hieremias	_	Sing	_	_	Acc	_	_	NOM
hoc	hic	_	Sing	_	_	Abl	MascNeut	1	PROdem
uidelicet	uidelicet	Pos	_	_	_	_	_	_	ADV
sensu	sensus	_	Sing	_	_	Abl	_	_	NOM
quod	quod	_	_	_	_	_	_	2	CONsub
uerba	uerbum	_	Plur	_	_	Nom	_	_	NOM
Hieremiae	Hieremias	_	Sing	_	_	Gen	_	_	NOM
uerbum	uerbum	_	Sing	_	_	Nom	_	_	NOM
sit	sum	_	Sing	3	Sub|Pres|Act	_	_	1	VER
domini	dominus	_	Sing	_	_	Gen	_	_	NOM

fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
autem	autem	_	_	_	_	_	_	_	CONcoo
de	de	_	_	_	_	_	_	_	PRE
genere	genus	_	Sing	_	_	Abl	_	1	NOM
sacerdotum	sacerdos	_	Plur	_	_	Gen	_	_	NOM
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
habitabant	habito	_	Plur	3	Ind|Impa|Act	_	_	_	VER
contra	contra	_	_	_	_	_	_	2	PRE
septentrionem	septentrio	_	Sing	_	_	Acc	_	_	NOM
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
tertio	tertius	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
miliario	milliarium	_	Sing	_	_	Abl	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
uiculo	uiculus	_	Sing	_	_	Abl	_	_	NOM
Anathoth	Anathoth	_	_	_	_	Ind	_	_	NOM

simulque	simul界que	Pos	_	_	_	_	_	1	ADV
admirabilis	admirabilis	Pos	Sing	_	_	Nom	MascFem	_	ADJqua
clementia	clementia	_	Sing	_	_	Nom	_	_	NOM
domini	dominus	_	Sing	_	_	Gen	_	_	NOM
quod	quod	_	_	_	_	_	_	2	CONsub
iam	iam	Pos	_	_	_	_	_	_	ADV
captiuitate	captiuitas	_	Sing	_	_	Abl	_	_	NOM
uicina	uicinus	Pos	Sing	_	_	Abl	Fem	2	ADJqua
et	et	_	_	_	_	_	_	2	CONcoo
Babylonio	Babylonius	Pos	Sing	_	_	Abl	MascNeut	_	ADJqua
exercitu	exercitus	_	Sing	_	_	Abl	_	1	NOM
uallante	uallo	_	Sing	_	Par|Pres|Act	Abl	Com	_	VER
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOM
nihilominus	nihilominus	_	_	_	_	_	_	_	ADVneg
populum	populus	_	Sing	_	_	Acc	_	1	NOM
ad	ad	_	_	_	_	_	_	2	PRE
paenitentiam	paenitentia	_	Sing	_	_	Acc	_	_	NOM
prouocat	prouoco	_	Sing	3	Ind|Pres|Act	_	_	_	VER
malens	malo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
saluare	saluo	_	_	_	Inf|Pres|Act	_	_	_	VER
conuersos	conuerto	_	Plur	_	Par|Perf|Pass	Acc	Masc	_	VER
quam	quam	_	_	_	_	_	_	1	ADVrel
perdere	perdo	_	_	_	Inf|Pres|Act	_	_	_	VER
delinquentes	delinquo	_	Plur	_	Par|Pres|Act	Acc	MascFem	_	VER

pro	pro	_	_	_	_	_	_	1	PRE
transmigratione	transmigratio	_	Sing	_	_	Abl	_	_	NOM
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
omnes	omnis	_	Plur	_	_	Nom	MascFem	_	PROind
alii	alius	_	Plur	_	_	Nom	Masc	_	PROind
uoce	uox	_	Sing	_	_	Abl	_	_	NOM
consona	consonus	Pos	Sing	_	_	Abl	Fem	_	ADJqua
transtulerunt	transfero	_	Plur	3	Ind|Perf|Act	_	_	_	VER
3	3	_	_	_	_	_	_	_	ADJcar
posuere	pono	_	Plur	3	Ind|Perf|Act	_	_	_	VER
captiuitatem	captiuitas	_	Sing	_	_	Acc	_	_	NOM

post	post	_	_	_	_	_	_	2	PRE
exordium	exordium	_	Sing	_	_	Acc	_	_	NOM
autem	autem	_	_	_	_	_	_	_	CONcoo
uaticinationis	uaticinatio	_	Sing	_	_	Gen	_	_	NOM
Hieremiae	Hieremias	_	Sing	_	_	Gen	_	_	NOM
tricesimo	tricesimus	Sup	Sing	_	_	Abl	MascNeut	_	ADJord
quinto	quintus	Pos	Sing	_	_	Abl	MascNeut	_	ADJord
prophetiae	prophetia	_	Sing	_	_	Gen	_	_	NOM
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
anno	annus	_	Sing	_	_	Abl	_	_	NOM
Hiezechiel	Ezechiel	_	Sing	_	_	Nom	_	_	NOM
in	in	_	_	_	_	_	_	_	PRE
Babylone	Babylon	_	Sing	_	_	Abl	_	_	NOM
his	hic	_	Plur	_	_	Dat	Com	1	PROdem
qui	qui	_	Plur	_	_	Nom	Masc	1	PROrel
cum	cum	_	_	_	_	_	_	2	PRE
eo	is	_	Sing	_	_	Abl	MascNeut	_	PROdem
capti	capio	_	Plur	_	Par|Perf|Pass	Nom	Masc	2	VER
fuerant	sum	_	Plur	3	Ind|Pqp|Act	_	_	1	VER
exorsus	exordior	_	Sing	_	Par|Perf|Dep	Nom	Masc	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
prophetare	propheto	_	_	_	Inf|Pres|Act	_	_	_	VER

Et	et	_	_	_	_	_	_	2	CONcoo
factum	facio	_	Sing	_	Par|Perf|Pass	Nom	Neut	_	VER
est	sum	_	Sing	3	Ind|Pres|Act	_	_	1	VER
uerbum	uerbum	_	Sing	_	_	Nom	_	_	NOM
domini	dominus	_	Sing	_	_	Gen	_	_	NOM
ad	ad	_	_	_	_	_	_	2	PRE
me	ego	_	Sing	_	_	Acc	_	_	PROper
dicens	dico	_	Sing	_	Par|Pres|Act	Nom	Com	2	VER
priusquam	priusquam	_	_	_	_	_	_	_	CONsub
te	tu	_	Sing	_	_	Acc	_	_	PROper
formarem	formo	_	Sing	1	Sub|Impa|Act	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
utero	uterus	_	Sing	_	_	Abl	_	_	NOM
noui	nosco	_	Sing	1	Ind|Perf|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper
et	et	_	_	_	_	_	_	2	CONcoo
antequam	antequam	_	_	_	_	_	_	_	CONsub
exires	exeo	_	Sing	2	Sub|Impa|Act	_	_	1	VER
de	de	_	_	_	_	_	_	_	PRE
uulua	uulua	_	Sing	_	_	Abl	_	_	NOM
sanctificaui	sanctifico	_	Sing	1	Ind|Perf|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper
prophetam	propheta	_	Sing	_	_	Acc	_	_	NOM
gentibus	gens	_	Plur	_	_	Dat	_	_	NOM
dedi	do	_	Sing	1	Ind|Perf|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper

Non	non	_	_	_	_	_	_	_	ADVneg
quo	quo	_	_	_	_	_	_	2	ADVrel
ante	ante	_	_	_	_	_	_	2	PRE
conceptionem	conceptio	_	Sing	_	_	Acc	_	_	NOM
ut	ut	_	_	_	_	_	_	4	CONsub
heresis	haeresis	_	Sing	_	_	Nom	_	_	NOM
suspicatur	suspicor	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
fuerit	sum	_	Sing	3	Sub|Perf|Act	_	_	1	VER
Hieremias	Hieremias	_	Sing	_	_	Nom	_	_	NOM
sed	sed	_	_	_	_	_	_	_	CONcoo
quo	quo	_	_	_	_	_	_	2	ADVrel
praescierit	praescio	_	Sing	3	Sub|Perf|Act	_	_	_	VER
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
futurum	sum	_	Sing	_	Par|Fut|Act	Acc	MascNeut	1	VER
dominus	dominus	_	Sing	_	_	Nom	_	_	NOM
cui	qui	_	Sing	_	_	Dat	Com	1	PROrel
necdum	necdum	_	_	_	_	_	_	1	ADVneg
facta	facio	_	Plur	_	Par|Perf|Pass	Nom	Neut	_	VER
iam	iam	Pos	_	_	_	_	_	_	ADV
facta	facio	_	Plur	_	Par|Perf|Pass	Nom	Neut	_	VER
sunt	sum	_	Plur	3	Ind|Pres|Act	_	_	1	VER
secundum	secundum	_	_	_	_	_	_	2	PRE
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
apostolus	apostolus	_	Sing	_	_	Nom	_	_	NOM
loquitur	loquor	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
uocauit	uoco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ea	is	_	Plur	_	_	Acc	Neut	_	PROdem
quae	qui	_	Plur	_	_	Nom	Neut	1	PROrel
non	non	_	_	_	_	_	_	_	ADVneg
erant	sum	_	Plur	3	Ind|Impa|Act	_	_	1	VER
quasi	quasi	_	_	_	_	_	_	1	ADVrel
ea	is	_	Plur	_	_	Nom	Neut	_	PROdem
quae	qui	_	Plur	_	_	Nom	Neut	1	PROrel
essent	sum	_	Plur	3	Sub|Impa|Act	_	_	1	VER

quod	quod	_	_	_	_	_	_	2	CONsub
autem	autem	_	_	_	_	_	_	_	CONcoo
sanctificatur	sanctifico	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
utero	uterus	_	Sing	_	_	Abl	_	_	NOM
iuxta	iuxta	Pos	_	_	_	_	_	2	PRE
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
apostoli	apostolus	_	Sing	_	_	Gen	_	_	NOM
debemus	debeo	_	Plur	1	Ind|Pres|Act	_	_	_	VER
accipere	accipio	_	_	_	Inf|Pres|Act	_	_	_	VER
postquam	postquam	_	_	_	_	_	_	_	CONsub
autem	autem	_	_	_	_	_	_	_	CONcoo
placuit	placeo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
ei	is	_	Sing	_	_	Dat	Com	_	PROdem
qui	qui	_	Sing	_	_	Nom	Masc	1	PROrel
me	ego	_	Sing	_	_	Acc	_	_	PROper
segregauit	segrego	_	Sing	3	Ind|Perf|Act	_	_	_	VER
de	de	_	_	_	_	_	_	_	PRE
utero	uterus	_	Sing	_	_	Abl	_	_	NOM
matris	mater	_	Sing	_	_	Gen	_	_	NOM
meae	meus	_	Sing	_	_	Gen	Fem	_	PROpos
et	et	_	_	_	_	_	_	2	CONcoo
uocauit	uoco	_	Sing	3	Ind|Perf|Act	_	_	_	VER
per	per	_	_	_	_	_	_	_	PRE
gratiam	gratia	_	Sing	_	_	Acc	_	_	NOM
suam	suus	_	Sing	_	_	Acc	Fem	_	PROpos.ref
ut	ut	_	_	_	_	_	_	4	CONsub
reuelaret	reuelo	_	Sing	3	Sub|Impa|Act	_	_	_	VER
filium	filius	_	Sing	_	_	Acc	_	_	NOM
suum	suus	_	Sing	_	_	Acc	MascNeut	_	PROpos.ref
in	in	_	_	_	_	_	_	_	PRE
me	ego	_	Sing	_	_	Abl	_	_	PROper
ut	ut	_	_	_	_	_	_	4	CONsub
euangelizarem	euangelizo	_	Sing	1	Sub|Impa|Act	_	_	_	VER
eum	is	_	Sing	_	_	Acc	Masc	_	PROdem
in	in	_	_	_	_	_	_	_	PRE
gentibus	gens	_	Plur	_	_	Abl	_	_	NOM

Iohannes	Ioannes	_	Sing	_	_	Nom	_	_	NOM
quoque	quoque	Pos	_	_	_	_	_	_	ADV
Baptista	Baptista	_	Sing	_	_	Nom	_	_	NOM
sanctificatur	sanctifico	_	Sing	3	Ind|Pres|Dep	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
utero	uterus	_	Sing	_	_	Abl	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
spiritum	spiritus	_	Sing	_	_	Acc	_	_	NOM
sanctum	sanctus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
accipit	accipio	_	Sing	3	Ind|Pres|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
mouetur	moueo	_	Sing	3	Ind|Pres|Pass	_	_	_	VER
in	in	_	_	_	_	_	_	_	PRE
uulua	uulua	_	Sing	_	_	Abl	_	_	NOM
et	et	_	_	_	_	_	_	2	CONcoo
per	per	_	_	_	_	_	_	_	PRE
os	os	_	Sing	_	_	Acc	_	1	NOM
matris	mater	_	Sing	_	_	Gen	_	_	NOM
loquitur	loquor	_	Sing	3	Ind|Pres|Dep	_	_	_	VER

quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
autem	autem	_	_	_	_	_	_	_	CONcoo
dixit	dico	_	Sing	3	Ind|Perf|Act	_	_	2	VER
prophetam	propheta	_	Sing	_	_	Acc	_	_	NOM
gentibus	gens	_	Plur	_	_	Dat	_	_	NOM
dedi	do	_	Sing	1	Ind|Perf|Act	_	_	_	VER
te	tu	_	Sing	_	_	Acc	_	_	PROper
illud	ille	_	Sing	_	_	Acc	Neut	_	PROdem
uult	uolo	_	Sing	3	Ind|Pres|Act	_	_	3	VER
intellegi	intelligo	_	_	_	Inf|Pres|Pass	_	_	_	VER
quod	qui	_	Sing	_	_	Acc	Neut	1	PROrel
in	in	_	_	_	_	_	_	_	PRE
ipso	ipse	_	Sing	_	_	Abl	MascNeut	_	PROdem
postea	postea	Pos	_	_	_	_	_	_	ADV
propheta	propheta	_	Sing	_	_	Abl	_	_	NOM
lecturi	lego	_	Plur	_	Par|Fut|Act	Nom	Masc	2	VER
sumus	sum	_	Plur	1	Ind|Pres|Act	_	_	1	VER
quod	quod	_	_	_	_	_	_	2	CONsub
non	non	_	_	_	_	_	_	_	ADVneg
solum	solum	Pos	_	_	_	_	_	2	ADV
Hierusalem	Ierusalem	_	_	_	_	Ind	_	_	NOM
sed	sed	_	_	_	_	_	_	_	CONcoo
et	et	_	_	_	_	_	_	1	ADV
multis	multus	Pos	Plur	_	_	Abl	Com	_	ADJqua
in	in	_	_	_	_	_	_	_	PRE
circuitu	circuitus	_	Sing	_	_	Abl	_	_	NOM
gentibus	gens	_	Plur	_	_	Abl	_	_	NOM
prophetauit	propheto	_	Sing	3	Ind|Perf|Act	_	_	_	VER

